episode,reward,avg_reward,steps,deliveries,collisions,timestamp
0,474.0900000000043,474.0900000000043,3000,6,294,2025-04-16T02:30:16.198320
1,475.5199999999998,474.80500000000205,3000,6,384,2025-04-16T02:37:14.923463
2,495.31999999999397,481.6433333333327,3000,4,374,2025-04-16T02:41:05.647052
3,615.5200000000265,515.1125000000061,3000,5,276,2025-04-16T02:44:22.708418
4,490.74999999999324,510.24000000000353,3000,5,382,2025-04-16T02:47:47.091338
5,434.44000000000136,497.6066666666698,3000,7,353,2025-04-16T02:51:15.187924
6,549.2100000000098,504.9785714285755,3000,6,286,2025-04-16T02:54:35.794020
7,574.6600000000138,513.6887500000053,3000,6,300,2025-04-16T02:57:37.003245
8,542.2500000000069,516.8622222222277,3000,4,413,2025-04-16T03:01:04.798844
9,505.0599999999913,515.6820000000041,3000,3,427,2025-04-16T03:05:01.804016
10,476.6399999999964,512.1327272727307,3000,6,357,2025-04-16T03:08:14.299965
11,592.5000000000196,518.8300000000048,3000,6,347,2025-04-16T03:10:42.255341
12,498.6099999999976,517.2746153846197,3000,4,289,2025-04-16T03:13:00.216041
13,568.2500000000106,520.915714285719,3000,4,314,2025-04-16T03:15:14.909316
14,502.67999999999194,519.7000000000039,3000,5,335,2025-04-16T03:17:30.188923
15,600.0300000000166,524.7206250000046,3000,4,353,2025-04-16T03:19:42.280008
16,469.16999999999837,521.4529411764748,3000,7,429,2025-04-16T03:24:10.017111
17,489.94999999999874,519.7027777777816,3000,7,443,2025-04-16T03:28:37.263528
18,462.6400000000039,516.6994736842144,3000,7,316,2025-04-16T03:32:42.035418
19,522.5100000000022,516.9900000000038,2768,8,430,2025-04-16T03:35:35.900626
20,458.5000000000095,514.204761904766,3000,7,353,2025-04-16T03:40:31.549933
21,451.54000000000514,511.3563636363677,3000,7,296,2025-04-16T03:44:15.114210
22,495.3999999999992,510.66260869565605,3000,6,369,2025-04-16T03:48:24.314780
23,438.62000000000194,507.66083333333717,3000,7,370,2025-04-16T03:52:18.901985
24,525.2599999999976,508.3648000000036,3000,5,326,2025-04-16T03:55:43.047996
25,624.9400000000314,512.8484615384662,3000,7,333,2025-04-16T03:59:06.828803
26,530.5199999999977,513.5029629629673,2038,8,237,2025-04-16T04:03:09.512227
27,385.14000000000027,508.9185714285756,3000,5,362,2025-04-16T04:06:48.124894
0,0,0.0,0,0,0,2025-04-20T01:44:50.638902
1,0,0.0,0,0,0,2025-04-20T01:44:51.525717
2,0,0.0,0,0,0,2025-04-20T01:44:52.328254
3,0,0.0,0,0,0,2025-04-20T01:44:53.256721
4,0,0.0,0,0,0,2025-04-20T01:44:54.297121
5,0,0.0,0,0,0,2025-04-20T01:44:56.078096
6,0,0.0,0,0,0,2025-04-20T01:44:56.913617
7,0,0.0,0,0,0,2025-04-20T01:44:57.517288
8,0,0.0,0,0,0,2025-04-20T01:44:58.154903
9,0,0.0,0,0,0,2025-04-20T01:44:58.971432
10,0,0.0,0,0,0,2025-04-20T01:44:59.639286
11,0,0.0,0,0,0,2025-04-20T01:45:00.234947
12,0,0.0,0,0,0,2025-04-20T01:45:00.808618
13,0,0.0,0,0,0,2025-04-20T01:45:01.369295
14,0,0.0,0,0,0,2025-04-20T01:45:01.950969
15,0,0.0,0,0,0,2025-04-20T01:45:02.577599
16,0,0.0,0,0,0,2025-04-20T01:45:03.155681
17,0,0.0,0,0,0,2025-04-20T01:45:03.720336
18,0,0.0,0,0,0,2025-04-20T01:45:04.506883
19,0,0.0,0,0,0,2025-04-20T01:45:05.223474
20,0,0.0,0,0,0,2025-04-20T01:45:05.760162
21,0,0.0,0,0,0,2025-04-20T01:45:06.296855
22,0,0.0,0,0,0,2025-04-20T01:45:06.840540
23,0,0.0,0,0,0,2025-04-20T01:45:07.394222
24,0,0.0,0,0,0,2025-04-20T01:45:07.926918
25,0,0.0,0,0,0,2025-04-20T01:45:08.457609
26,0,0.0,0,0,0,2025-04-20T01:45:08.994300
27,0,0.0,0,0,0,2025-04-20T01:45:09.530945
28,0,0.0,0,0,0,2025-04-20T01:45:10.324495
29,0,0.0,0,0,0,2025-04-20T01:45:11.006102
30,0,0.0,0,0,0,2025-04-20T01:45:11.748691
31,0,0.0,0,0,0,2025-04-20T01:45:12.349328
32,0,0.0,0,0,0,2025-04-20T01:45:12.997957
33,0,0.0,0,0,0,2025-04-20T01:45:13.551638
34,0,0.0,0,0,0,2025-04-20T01:45:14.094421
35,0,0.0,0,0,0,2025-04-20T01:45:14.819004
36,0,0.0,0,0,0,2025-04-20T01:45:15.436649
37,0,0.0,0,0,0,2025-04-20T01:45:15.992211
38,0,0.0,0,0,0,2025-04-20T01:45:16.709798
39,0,0.0,0,0,0,2025-04-20T01:45:17.506342
40,0,0.0,0,0,0,2025-04-20T01:45:18.098000
41,0,0.0,0,0,0,2025-04-20T01:45:18.645691
42,0,0.0,0,0,0,2025-04-20T01:45:19.184225
43,0,0.0,0,0,0,2025-04-20T01:45:19.721913
44,0,0.0,0,0,0,2025-04-20T01:45:20.266570
45,0,0.0,0,0,0,2025-04-20T01:45:20.817252
46,0,0.0,0,0,0,2025-04-20T01:45:21.361940
47,0,0.0,0,0,0,2025-04-20T01:45:21.902627
48,0,0.0,0,0,0,2025-04-20T01:45:22.442317
49,0,0.0,0,0,0,2025-04-20T01:45:22.980029
50,0,0.0,0,0,0,2025-04-20T01:45:23.529693
0,0,0.0,0,0,0,2025-04-20T01:48:14.627622
1,0,0.0,0,0,0,2025-04-20T01:48:15.363209
2,0,0.0,0,0,0,2025-04-20T01:48:16.291674
3,0,0.0,0,0,0,2025-04-20T01:48:17.109204
4,0,0.0,0,0,0,2025-04-20T01:48:17.873765
5,0,0.0,0,0,0,2025-04-20T01:48:18.625333
6,0,0.0,0,0,0,2025-04-20T01:48:19.317937
7,0,0.0,0,0,0,2025-04-20T01:48:19.986026
8,0,0.0,0,0,0,2025-04-20T01:48:20.678652
9,0,0.0,0,0,0,2025-04-20T01:48:21.339254
10,0,0.0,0,0,0,2025-04-20T01:48:21.978076
11,0,0.0,0,0,0,2025-04-20T01:48:22.644700
12,0,0.0,0,0,0,2025-04-20T01:48:23.301320
13,0,0.0,0,0,0,2025-04-20T01:48:23.944949
14,0,0.0,0,0,0,2025-04-20T01:48:24.600573
15,0,0.0,0,0,0,2025-04-20T01:48:25.256195
16,0,0.0,0,0,0,2025-04-20T01:48:25.949245
17,0,0.0,0,0,0,2025-04-20T01:48:26.590857
18,0,0.0,0,0,0,2025-04-20T01:48:27.358433
19,0,0.0,0,0,0,2025-04-20T01:48:28.109001
20,0,0.0,0,0,0,2025-04-20T01:48:28.757538
21,0,0.0,0,0,0,2025-04-20T01:48:29.400168
22,0,0.0,0,0,0,2025-04-20T01:48:30.034801
23,0,0.0,0,0,0,2025-04-20T01:48:30.685427
24,0,0.0,0,0,0,2025-04-20T01:48:31.320229
25,0,0.0,0,0,0,2025-04-20T01:48:31.960948
26,0,0.0,0,0,0,2025-04-20T01:48:32.623565
